masked_fivegram,training_document_frequency,training_document_pct,countries_present
for her family and the,1082,0.082177,18
living in loc loc she,1082,0.082177,12
loan of amt to purchase,1082,0.082177,15
name will use the income,1082,0.082177,5
this business in the future,1082,0.082177,9
wants her children to have,1082,0.082177,13
years old and married he,1082,0.082177,27
anticipated profits to purchase additional,1081,0.082101,5
expand her business by buying,1081,0.082101,29
four children she has been,1081,0.082101,28
is engaged in cattle breeding,1081,0.082101,3
who all go to school,1081,0.082101,22
has been selling for the,1080,0.082025,6
the future he wants to,1080,0.082025,21
to all lenders around the,1080,0.082025,3
for his work this will,1079,0.081949,5
her production will increase and,1079,0.081949,3
lives with his family he,1079,0.081949,23
more sacks of rice to,1079,0.081949,5
name is married and the,1079,0.081949,27
she is hardworking businesswoman who,1079,0.081949,4
she learned this trade from,1079,0.081949,7
to meet her family weekly,1079,0.081949,3
to support her children she,1079,0.081949,19
able to build and expand,1078,0.081873,3
all of his fuels and,1078,0.081873,3
her children she has requested,1078,0.081873,17
of his fuels and electricity,1078,0.081873,3
through org to buy spare,1078,0.081873,3
been selling for the past,1077,0.081797,5
for many years she has,1077,0.081797,19
for two years and sells,1077,0.081797,5
her customers she plans to,1077,0.081797,22
in the next five years,1077,0.081797,11
whom is in school she,1077,0.081797,19
be able to build and,1076,0.081721,5
her income she hopes you,1076,0.081721,4
is from loc she is,1076,0.081721,13
is requesting loan in order,1076,0.081721,29
loan she will stock up,1076,0.081721,8
requesting loan from org for,1076,0.081721,6
the key to success for,1076,0.081721,3
use the anticipated profit to,1076,0.081721,4
amt she wants to expand,1075,0.081645,5
loan from kiva lenders to,1075,0.081645,11
who has general store in,1075,0.081645,3
and has seven children name,1074,0.081569,13
children in small village in,1074,0.081569,7
for his family name is,1074,0.081569,24
of amt org to pay,1074,0.081569,14
buy more clothes to sell,1073,0.081493,21
increase her income she will,1073,0.081493,20
is amt married and the,1073,0.081493,24
more than amt years name,1073,0.081493,22
on the org amt cookstove,1073,0.081493,4
raising pigs for five years,1073,0.081493,3
works as farmer but struggles,1073,0.081493,4
would like to acquire loan,1073,0.081493,5
in the future he hopes,1072,0.081417,21
is his second loan with,1072,0.081417,15
loc loc she is pictured,1072,0.081417,4
of further developing her farm,1072,0.081417,3
to manage her grocery store,1072,0.081417,4
with five children name has,1072,0.081417,11
etc name would like to,1071,0.081341,4
have enough money to buy,1071,0.081341,21
married with two children and,1071,0.081341,26
morning and closes at amt,1071,0.081341,3
of whom is still in,1071,0.081341,18
profits will allow her to,1071,0.081341,17
she is thankful for the,1071,0.081341,20
and generate more income to,1070,0.081265,14
are currently in school for,1070,0.081265,6
has been doing it for,1070,0.081265,23
hopeful that this loan will,1070,0.081265,11
is currently requesting loan from,1070,0.081265,6
loan to buy head of,1070,0.081265,4
two children currently in school,1070,0.081265,6
with four children with two,1070,0.081265,3
women like her she is,1070,0.081265,3
amount of amt org from,1069,0.081189,11
he has been working alongside,1069,0.081189,3
his fuels and electricity expenses,1069,0.081189,3
items to sell name has,1069,0.081189,3
name is married with two,1069,0.081189,26
standard of living for her,1069,0.081189,26
who lives in traditional hut,1069,0.081189,4
mother of three children name,1068,0.081113,18
name has spent the past,1068,0.081113,4
she earns good income that,1068,0.081113,5
canned goods noodles drinks spices,1067,0.081037,3
house with his family in,1067,0.081037,5
is an enthusiastic and active,1067,0.081037,3
sells groceries and beverages her,1067,0.081037,3
she will stock up on,1067,0.081037,12
the loc region she is,1067,0.081037,5
and be able to increase,1066,0.080961,11
as well as support her,1066,0.080961,16
been able to save more,1066,0.080961,4
her parents in the loc,1066,0.080961,8
her to provide for her,1066,0.080961,30
like to thank all the,1066,0.080961,12
as farmer but struggles with,1065,0.080885,4
at this time she is,1065,0.080885,16
kiva loan to expand her,1065,0.080885,15
she also earns an income,1065,0.080885,8
which enabled her to purchase,1065,0.080885,10
years old and all of,1065,0.080885,11
her family she is very,1064,0.080809,23
her store her goals are,1064,0.080809,4
married with three children and,1064,0.080809,27
seeking loan to invest in,1064,0.080809,11
the past amt years he,1064,0.080809,27
also pay school fees for,1063,0.080733,6
groceries name has borrowed and,1063,0.080733,3
in the future with the,1063,0.080733,18
is married woman with eight,1063,0.080733,7
needs access to high quality,1063,0.080733,3
to all the lenders for,1063,0.080733,12
to purchase additional materials and,1063,0.080733,5
amt cookstove please visit www,1062,0.080658,4
her dream is to see,1062,0.080658,17
to help them access solar,1062,0.080658,4
buying and selling ready to,1061,0.080582,3
children in her care she,1061,0.080582,15
is pictured with her husband,1061,0.080582,4
provide her family with the,1061,0.080582,14
to buy more bags of,1061,0.080582,21
to improve her crop production,1061,0.080582,4
her business she successfully repaid,1060,0.080506,4
name wants her children to,1060,0.080506,9
other groceries name has borrowed,1060,0.080506,3
asking for the support of,1059,0.08043,6
kiva field partner to buy,1059,0.08043,11
market she is requesting loan,1059,0.08043,13
she would like to ask,1059,0.08043,7
amt years of age she,1058,0.080354,31
business for four years name,1058,0.080354,16
earns to reinvest in her,1058,0.080354,8
in order to improve their,1058,0.080354,23
live decent life she is,1058,0.080354,6
livestock in order to increase,1058,0.080354,8
old married woman with one,1058,0.080354,21
she is married and she,1058,0.080354,31
whom is still in school,1058,0.080354,17
business her hopes and dreams,1057,0.080278,4
seeds so that she can,1057,0.080278,12
she has no problems with,1057,0.080278,6
old married and has seven,1056,0.080202,24
primary source of income has,1056,0.080202,8
thanks you in advance for,1056,0.080202,11
through her hard work and,1056,0.080202,16
go to school she has,1055,0.080126,24
to have bright future and,1055,0.080126,7
her business with the help,1054,0.08005,22
is very grateful to org,1054,0.08005,15
more than amt years in,1054,0.08005,19
mother of two children name,1054,0.08005,21
the business will be used,1054,0.08005,11
used his previous loan to,1054,0.08005,13
amt hectares of land where,1053,0.079974,5
her children to have bright,1053,0.079974,7
is to see her children,1053,0.079974,21
old married woman from loc,1053,0.079974,11
she lives in rural village,1053,0.079974,10
applied for loan in the,1052,0.079898,14
name is married with three,1052,0.079898,23
profits from her sales she,1052,0.079898,14
with her own working capital,1052,0.079898,6
amount of org amt to,1051,0.079822,12
five children she earns living,1051,0.079822,10
old married woman with five,1051,0.079822,22
past year name has been,1051,0.079822,8
she is asking for the,1051,0.079822,15
the lenders for this financial,1051,0.079822,3
at her business site she,1050,0.079746,4
her new loan she plans,1050,0.079746,5
his children school fees name,1050,0.079746,12
is very pleased with the,1050,0.079746,8
primary customers are locals name,1050,0.079746,7
she has decided to take,1050,0.079746,17
to support her business during,1050,0.079746,3
able to send her children,1049,0.07967,22
applied for this loan to,1049,0.07967,23
family quality of life she,1049,0.07967,14
her neighbors and the local,1049,0.07967,5
improvement of her business name,1049,0.07967,3
month she has applied for,1049,0.07967,5
amt years old widow and,1048,0.079594,26
is the increase in the,1048,0.079594,5
mother of six children she,1048,0.079594,32
requested loan from org for,1048,0.079594,8
single woman with two children,1048,0.079594,13
to be financially stable and,1048,0.079594,11
years and amt years old,1048,0.079594,8
amt school going children she,1047,0.079518,15
an additional kiva loan to,1047,0.079518,3
in his local community he,1047,0.079518,3
is why she is requesting,1047,0.079518,23
therefore she has applied for,1047,0.079518,13
to all lenders for their,1047,0.079518,10
was born in loc loc,1047,0.079518,3
and both of her children,1046,0.079442,7
loan to finance her business,1046,0.079442,13
loc she is married to,1046,0.079442,14
name amt is married with,1046,0.079442,27
of rice to sell for,1046,0.079442,3
one of loc refugee camps,1046,0.079442,3
single mother of three children,1046,0.079442,25
to provide food for her,1046,0.079442,19
and is married with three,1045,0.079366,29
is her main source of,1045,0.079366,20
of items such as rice,1045,0.079366,5
she wants to purchase stock,1045,0.079366,4
providing enough food for her,1044,0.07929,3
despite the challenges she faces,1043,0.079215,5
loan will help her expand,1043,0.079215,21
org for loan of amt,1043,0.079215,11
this is name first loan,1043,0.079215,23
to feed her family she,1043,0.079215,23
be able to pay his,1042,0.079139,15
for loan from org to,1042,0.079139,19
has applied for this loan,1042,0.079139,25
help her to improve her,1042,0.079139,26
one child she runs general,1042,0.079139,3
the past four years name,1042,0.079139,17
the size of her business,1042,0.079139,24
town of loc she is,1042,0.079139,12
will help her increase her,1042,0.079139,34
years ago with start up,1042,0.079139,4
loc which she will use,1041,0.079063,11
requested loan through org loc,1041,0.079063,4
she earns an average income,1041,0.079063,4
she is divorced and has,1041,0.079063,21
and find good job in,1040,0.078987,3
be able to pay school,1040,0.078987,17
child name is in the,1040,0.078987,5
in school her partner is,1040,0.078987,6
of pests and diseases that,1040,0.078987,4
she also earns additional income,1040,0.078987,10
she wants to use the,1040,0.078987,23
with four children in school,1040,0.078987,9
her goal for the future,1039,0.078911,20
home to provide for her,1039,0.078911,5
income from this business and,1039,0.078911,15
man full of hope and,1039,0.078911,3
she will pay for her,1039,0.078911,15
an average monthly income of,1038,0.078835,4
area of loc loc name,1038,0.078835,3
is name she was born,1038,0.078835,3
she has one child who,1038,0.078835,24
she is grateful to the,1038,0.078835,16
the first time this year,1038,0.078835,3
to build house in the,1038,0.078835,17
to develop her business she,1038,0.078835,22
for her children name is,1037,0.078759,22
one child name is in,1037,0.078759,4
years old widowed and has,1037,0.078759,23
he has been working in,1036,0.078683,27
hence increasing his income he,1036,0.078683,5
the past amt years ago,1036,0.078683,4
with the profits from his,1036,0.078683,20
at higher price in the,1035,0.078607,7
community as very reliable person,1035,0.078607,3
for her business she is,1035,0.078607,25
funds received from her husband,1035,0.078607,3
have light during the night,1035,0.078607,4
will be used to increase,1035,0.078607,22
to the high cost of,1034,0.078531,14
